Designator,Manufacturer Part Number or Seeed SKU,Qty,Link
BAT1,BAT-HLD-012-SMT,1,"https://www.mouser.jp/ProductDetail/Linx-Technologies/BAT-HLD-012-SMT?qs=Z0V%2FpEl%252BOGfZsSJil9WIXw%3D%3D"
C1,C1608X7S1A475M080AC,1,https://www.mouser.jp/ProductDetail/TDK/C1608X7S1A475M080AC?qs=6JAMGB%252BEdkxtzprg9A53UA%3D%3D
C2,C0402C103K5RAC7411,1,https://www.mouser.jp/ProductDetail/KEMET/C0402C103K5RAC7411?qs=pp%2FXe%252B1It%2FXjIsxZQe1n3w%3D%3D
"C3, C4",UMK105B7104KV-FR,2,https://www.mouser.jp/ProductDetail/Taiyo-Yuden/UMK105B7104KV-FR?qs=CNQs48zzdnpletoWYyNGGg%3D%3D
C5,C0603C106M8PACTU,1,https://www.mouser.jp/ProductDetail/KEMET/C0603C106M8PACTU?qs=gt1LBUVyoHk6B7S%252BOYJa0A%3D%3D
"C6, C7",TMR107B7105KA-T,2,https://www.mouser.jp/ProductDetail/Taiyo-Yuden/TMR107B7105KA-T?qs=TuK3vfAjtkV9UZg3DkHnew%3D%3D
CN1,2137160001,1,https://www.mouser.jp/ProductDetail/Molex/213716-0001?qs=IS%252B4QmGtzzqb95Au5%252B6Z%252BQ%3D%3D
D1,"PRTR5V0U2X,215",1,https://www.mouser.jp/ProductDetail/Nexperia/PRTR5V0U2X215?qs=LOCUfHb8d9sDkgY4cRj8Lw%3D%3D
"D2, D3","PMEG2005AEA,115",2,https://www.mouser.jp/ProductDetail/Nexperia/PMEG2005AEA115?qs=LOCUfHb8d9v8DU9iEgA%252BhA%3D%3D
"FB1, FB2, FB3",BLM15AG121SN1D,3,https://www.mouser.jp/ProductDetail/Murata-Electronics/BLM15AG121SN1D?qs=0mZ9c%252Bni6FbHnpaodfEgFg%3D%3D
LD1,APTD1608LSECK/J4-PF,1,https://www.mouser.jp/ProductDetail/Kingbright/APTD1608LSECK-J4-PF?qs=6oMev5NRZMEP9SnMY7kNaw%3D%3D
LD2,APHD1608LSURCK,1,https://www.mouser.jp/ProductDetail/Kingbright/APHD1608LSURCK?qs=AQlKX63v8RvwTLDG%2F6aYFA%3D%3D
LD3,APTD1608LZGCK,1,https://www.mouser.jp/ProductDetail/Kingbright/APTD1608LZGCK?qs=6oMev5NRZMFykhYHAs2q3g%3D%3D
LD4,APTD1608LVBC/D,1,https://www.digikey.jp/ja/products/detail/kingbright/APTD1608LVBC-D/5177478
R1,CRCW04025K10FKEDC,1,https://www.digikey.jp/ja/products/detail/vishay-dale/CRCW04025K10FKEDC/7928491?s=N4IgTCBcDaIMICU4HUAMAWVYCsBpAjKgGK4CiAInCALoC%2BQA
"R2, R3",CRCW04021K20FKEDC,2,https://www.digikey.jp/ja/products/detail/vishay-dale/CRCW04021K20FKEDC/7928523?s=N4IgTCBcDaIMICU4HUAMAWVYCMBpMqAYrgKIAicIAugL5A
R4,CRCW04021K00FKEDC,1,https://www.mouser.jp/ProductDetail/Vishay-Dale/CRCW04021K00FKEDC?qs=E3Y5ESvWgWMj5mY%252BhDIyqg%3D%3D
R5,CRCW0402390RFKEDC,1,https://www.mouser.jp/ProductDetail/Vishay-Dale/CRCW0402390RFKEDC?qs=E3Y5ESvWgWPBUVve%2FFm1%2FQ%3D%3D
"SW1, SW2",SKRPASE010,2,https://www.mouser.jp/ProductDetail/Alps-Alpine/SKRPASE010?qs=byeeYqUIh0NdKk8WD590Nw%3D%3D
SW3,SKTADAE010,1,https://www.mouser.jp/ProductDetail/Alps-Alpine/SKTADAE010?qs=W0yvOO0ixfHYmAdyn%252BUiSg%3D%3D
U1,BT40E,1,https://www.mouser.jp/ProductDetail/Fanstel/BT40E?qs=zW32dvEIR3vmzDgAfbp4Vw%3D%3D
U2,ADP122ACPZ-3.3-R7,1,https://www.mouser.jp/ProductDetail/Analog-Devices/ADP122ACPZ-3.3-R7?qs=BpaRKvA4VqFGxcUJVezYbA%3D%3D