基板名称,,MDBT50Q Secure Dongle rev2.2,,,,,,,,,,
実装数,,2,台,,,,,,,,,
,,,,,,,,,,,,
No,部品分類,部品種類,メーカー名,メーカー型番,リファレンス,使用数,実装/未実装,必要数量,"
提供部品リスト",支給形状,パッケージ,備考
1,SMD,チップコンデンサー,AVX Corporation,06035A120FAT2A,"C1, C2",2,実装,4,,テープ,0603,12pF
2,SMD,チップコンデンサー,TDK Corporation,C1608X7S1A475M080AC,"C3, C4",2,実装,4,,テープ,0603,4.7uF
3,SMD,チップコンデンサー,Taiyo Yuden,UMK105B7104KV-FR,"C5, C7, C8, C12",4,実装,8,,テープ,0402,0.1uF
4,SMD,チップコンデンサー,KEMET,C0402C103K5RAC7411,C6,1,実装,2,,テープ,0402,0.01uF
5,SMD,チップコンデンサー,KEMET,C0603C106M8PACTU,C9,1,実装,2,,テープ,0603,10uF
6,SMD,チップコンデンサー,Taiyo Yuden,TMR107B7105KA-T,"C10, C11",2,実装,4,,テープ,0603,1uF
7,SMD,USBコネクター,TE Connectivity,1734028-1,CN1,1,実装,2,,テープ,4pos,
8,SMD,LED,Kingbright Company LLC,APTD1608LSECK/J4-PF,D1,1,実装,2,,テープ,0603,
9,SMD,LED,Kingbright Company LLC,APHD1608LSURCK,D2,1,実装,2,,テープ,0603,
10,SMD,LED,Kingbright Company LLC,APTD1608LZGCK,D3,1,実装,2,,テープ,0603,
11,SMD,LED,Kingbright Company LLC,APTD1608LVBC/D,D4,1,実装,2,,テープ,0603,
12,SMD,ESD,NXP,"PRTR5V0U2X,215",D5,1,実装,2,,テープ,SOT143B,
13,SMD,SBD,Nexperia,"PMEG2005AEA,115","D6, D7",2,実装,4,,テープ,SOD323-W,
14,SMD,フェライトビーズ,Murata Electronics,BLM15AG121SN1D,"L1, L2, L3",3,実装,6,,テープ,0402,
15,SMD,チップ抵抗,Vishay,CRCW040210K0JNEDC,"R1, R6, R7, R8, R9",5,実装,10,,テープ,0402,10k
16,SMD,チップ抵抗,Vishay,CRCW04021K20FKEDC,"R2, R3",2,実装,4,,テープ,0402,1.2k
17,SMD,チップ抵抗,Vishay,,R4,1,実装,2,,テープ,0402,1.5k
18,SMD,チップ抵抗,Vishay,CRCW0402390RFKEDC,R5,1,実装,2,,テープ,0402,390
19,SMD,タクトスイッチ,ALPS,SKRPACE010,SW1,1,実装,2,,テープ,4pos,
20,SMD,タクトスイッチ,ALPS,SKTADAE010,SW2,1,実装,2,,テープ,4pos,
21,SMD,BLEモジュール,Raytac Corporation,MDBT50Q-P1MV2,U1,1,実装,2,,テープ,LGA,
22,SMD,LDO,Torex Semiconductor,XC6206P302MR-G,U2,1,実装,2,,テープ,SOT23,
23,SMD,RTCC,Micro Crystal AG,RV-3028-C7 32.768kHz 1ppm TA QA,U3,1,実装,2,,テープ,SON-8,
24,SMD,クリスタル,NDK,NX3215SA-32.768K-STD-MUA-9,X1,1,実装,2,,テープ,3215,