Qty,Value,Device,Package,Parts,Description,購買単価,購買金額,購買URL
2,2.7pF,GQM1885C2A2R7BB01D,C0603K,"C1, C2",コンデンサー,88,176,https://www.digikey.jp/product-detail/ja/murata-electronics-north-america/GQM1885C2A2R7BB01D/490-4839-1-ND/1687485
1,4.7uF,C2012X7R1V475K125AC,C1206,C14,コンデンサー,98,98,https://www.digikey.jp/product-detail/ja/tdk-corporation/C2012X7R1V475K125AC/445-7555-1-ND/2733627
2,4.3pF,GQM1885C2A4R3BB01D,C0603K,"C3, C4",コンデンサー,89,178,https://www.digikey.jp/product-detail/ja/murata-electronics-north-america/GQM1885C2A4R3BB01D/490-6096-1-ND/3845296
3,1uF,GRT188R61C105KE13D,C0603K,"C5, C7, C13",コンデンサー,26,78,https://www.digikey.jp/product-detail/ja/murata-electronics-north-america/GRT188R61C105KE13D/490-12315-1-ND/5417016
10,0.1uF,GCM188R71H104KA57J,C0603K,"C6, C8, C9, C10, C11, C12, C15, C16, C17, C18",コンデンサー,19,171,https://www.digikey.jp/product-detail/ja/murata-electronics-north-america/GCM188R71H104KA57J/490-8020-1-ND/4380305
1,TE-1734028,1-1734028-1,TE-1734028,CN1,USB connector plug,194,194,https://www.digikey.jp/product-detail/ja/te-connectivity-amp-connectors/1-1734028-1/A122942CT-ND/5419414
1,IF_7PIN,IF_7PIN,HEADER_7PIN,CN2,7-pin インターフェース,,0,（使用部品はありません）
1,APTD1608LCGCK,APTD1608LCGCK,CHIPLED_0603,D1,発光ダイオード,44,44,https://www.digikey.jp/product-detail/ja/kingbright/APTD1608LCGCK/754-2037-1-ND/7043091
1,APHD1608LQBC/D,APHD1608LQBC/D,CHIPLED_0603,D2,発光ダイオード,78,78,https://www.digikey.jp/product-detail/ja/kingbright/APHD1608LQBC-D/754-2034-1-ND/7043088
1,BLM18EG601SN1D,BLM18EG601SN1D,R0603,L1,フェライトビーズ,27,27,https://www.digikey.jp/product-detail/ja/murata-electronics-north-america/BLM18EG601SN1D/490-3994-1-ND/1016254
1,10kOhm,RC0603FR-1310KL,R0603,R1,抵抗器,12,24,https://www.mouser.jp/ProductDetail/Yageo/RC0603FR-1310KL?qs=%2fha2pyFaduhXXNW8qwNUNgSXLVztt8xt%2fRt%252b6UoHekyzdnDCyruabQ%3d%3d
1,4.7kOhm,RC0603FR-074K7L,R0603,R2,抵抗器,12,12,https://www.digikey.jp/product-detail/ja/yageo/RC0603FR-074K7L/311-4.70KHRCT-ND/730159
1,0Ohm,RCS06030000Z0EA,R0603,R3,抵抗器,12,36,https://www.mouser.jp/ProductDetail/Vishay/RCS06030000Z0EA?qs=%2fha2pyFadug1DPq81nYo677or%2fSKiu3kNqcHnuXKs2CUWt6v%252bCyxQg%3d%3d
1,1kOhm,RC0603FR-131KL,R0603,R4,抵抗器,12,12,https://www.mouser.jp/ProductDetail/Yageo/RC0603FR-131KL?qs=%2fha2pyFaduhXXNW8qwNUNjCI7Vl%2fgeLd2hnVUMGigvyOrfRwMr8KpA%3d%3d
1,680Ohm,AC0603FR-07680RL,R0603,R5,抵抗器,12,12,https://www.digikey.jp/product-detail/ja/yageo/AC0603FR-07680RL/YAG3624CT-ND/6006473
1,100Ohm,RC0603FR-07100RL,R0603,R6,抵抗器,12,12,https://www.digikey.jp/product-detail/ja/yageo/RC0603FR-07100RL/311-100HRCT-ND/729835
2,SKRPACE010,SKRPACE010,SKRPACE010,"SW1, SW2",表面実装用タクトスイッチ,42,42,https://www.mouser.jp/ProductDetail/ALPS/SKRPACE011?qs=%2fha2pyFaduglUht8H24nESZdBWgN3lk7SsO%252b76HGzG9lt3QmnaCnQA%3d%3d
1,STM32F411RET6_,STM32F411RET6,LQFP64-10X10_DEV,U1,ARM マイクロコントローラ,874,874,https://www.digikey.jp/product-detail/ja/stmicroelectronics/STM32F411RET6/497-14909-ND/4935722
1,LD39050PU33R_DEV,LD39050PU33R,DFN6-3X3_DEV,U2,LDO電圧レギュレータ,132,132,https://www.digikey.jp/product-detail/ja/stmicroelectronics/LD39050PU33R/497-8716-1-ND/2039901
1,USBLC6-2SC6,USBLC6-2SC6,SOT23-6L,U3,Very low capacitance ESD protection,58,58,https://www.digikey.jp/product-detail/ja/stmicroelectronics/USBLC6-2SC6/497-5235-1-ND/1121688
1,NX3215SA_,NX3215SA-32.768KHZ-EXS00A-MU00525,NX3215_DEV,X1,水晶振動子,80,80,https://www.digikey.jp/product-detail/ja/ndk-america-inc/NX3215SA-32.768KHZ-EXS00A-MU00525/644-1386-1-ND/9172114
1,NX3225GD_,NX3225GD-8MHZ-STD-CRA-3,NX3225_DEV,X2,水晶振動子,113,113,https://www.digikey.jp/product-detail/ja/ndk-america-inc/NX3225GD-8MHZ-STD-CRA-3/644-1178-1-ND/3125567